Vieta;Pults #;Vārds;Komanda;Kopējie Punkti;Kārtas Punkti;Apdomas Laiks (s);Milisekundes;Statuss
55;34;"Dalībnieks #34";"2. Galdiņš";107;0;37.38;37380;Bots
56;334;"Dalībnieks #334";"2. Galdiņš";106;0;33.94;33940;Bots
57;257;"Dalībnieks #257";"5. Galdiņš";106;0;39.27;39272;Bots
58;402;"Dalībnieks #402";"Gudrinieki";105;0;32.28;32278;Bots
59;282;"Dalībnieks #282";"Gudrinieki";103;0;31.36;31358;Bots
60;59;"Dalībnieks #59";"Čempioni";103;0;31.97;31968;Bots
61;110;"Dalībnieks #110";"Ātrie Prāti";103;0;33.82;33819;Bots
62;46;"Dalībnieks #46";"4. Galdiņš";103;0;35.76;35762;Bots
63;134;"Dalībnieks #134";"2. Galdiņš";103;0;38.57;38572;Bots
64;389;"Dalībnieks #389";"Čempioni";103;0;51.19;51188;Bots
65;388;"Dalībnieks #388";"VIP Galdiņš";101;0;33.07;33072;Bots
66;287;"Dalībnieks #287";"5. Galdiņš";100;0;29.71;29714;Bots
67;126;"Dalībnieks #126";"4. Galdiņš";99;0;37.20;37200;Bots
68;251;"Dalībnieks #251";"Zelta Bulta";99;0;45.81;45809;Bots
69;237;"Dalībnieks #237";"5. Galdiņš";98;0;5.08;5075;Bots
70;461;"Dalībnieks #461";"Zelta Bulta";98;0;34.35;34354;Bots
71;264;"Dalībnieks #264";"2. Galdiņš";98;0;52.26;52255;Bots
72;153;"Dalībnieks #153";"1. Galdiņš";97;0;10.47;10474;Bots
73;384;"Dalībnieks #384";"2. Galdiņš";97;0;25.60;25602;Bots
74;486;"Dalībnieks #486";"4. Galdiņš";97;0;26.37;26371;Bots
75;86;"Dalībnieks #86";"4. Galdiņš";97;0;38.59;38590;Bots
76;155;"Dalībnieks #155";"3. Galdiņš";96;0;13.79;13795;Bots
77;185;"Dalībnieks #185";"3. Galdiņš";96;0;20.97;20972;Bots
78;419;"Dalībnieks #419";"Čempioni";96;0;44.83;44830;Bots
79;121;"Dalībnieks #121";"Zelta Bulta";95;0;9.37;9370;Bots
80;452;"Dalībnieks #452";"Gudrinieki";95;0;10.48;10480;Bots
81;306;"Dalībnieks #306";"4. Galdiņš";95;0;11.90;11901;Bots
82;256;"Dalībnieks #256";"4. Galdiņš";95;0;43.14;43141;Bots
83;427;"Dalībnieks #427";"5. Galdiņš";95;0;49.24;49241;Bots
84;12;"Dalībnieks #12";"Gudrinieki";94;0;29.26;29258;Bots
85;50;"Dalībnieks #50";"Ātrie Prāti";94;0;40.63;40626;Bots
86;423;"Dalībnieks #423";"1. Galdiņš";94;0;43.62;43621;Bots
87;462;"Dalībnieks #462";"Gudrinieki";93;0;28.19;28190;Bots
88;316;"Dalībnieks #316";"4. Galdiņš";93;0;44.37;44371;Bots
89;302;"Dalībnieks #302";"Gudrinieki";92;0;40.39;40388;Bots
90;247;"Dalībnieks #247";"5. Galdiņš";91;0;13.66;13656;Bots
91;480;"Dalībnieks #480";"Ātrie Prāti";91;0;16.04;16039;Bots
92;150;"Dalībnieks #150";"Ātrie Prāti";90;0;28.53;28533;Bots
93;5;"Dalībnieks #5";"3. Galdiņš";90;0;43.81;43811;Bots
94;368;"Dalībnieks #368";"VIP Galdiņš";89;0;17.30;17299;Bots
95;448;"Dalībnieks #448";"VIP Galdiņš";89;0;23.30;23304;Bots
96;172;"Dalībnieks #172";"Gudrinieki";88;0;9.71;9705;Bots
97;213;"Dalībnieks #213";"1. Galdiņš";87;0;39.91;39913;Bots
98;62;"Dalībnieks #62";"Gudrinieki";86;0;14.25;14253;Bots
99;179;"Dalībnieks #179";"Čempioni";85;0;38.18;38176;Bots
100;77;"Dalībnieks #77";"5. Galdiņš";83;0;25.71;25706;Bots
101;310;"Dalībnieks #310";"Ātrie Prāti";83;0;50.34;50339;Bots
102;258;"Dalībnieks #258";"VIP Galdiņš";83;0;51.48;51475;Bots
103;312;"Dalībnieks #312";"Gudrinieki";82;0;17.26;17261;Bots
104;474;"Dalībnieks #474";"2. Galdiņš";82;0;22.90;22902;Bots
105;303;"Dalībnieks #303";"1. Galdiņš";82;0;26.35;26349;Bots
106;475;"Dalībnieks #475";"3. Galdiņš";82;0;34.09;34087;Bots
107;321;"Dalībnieks #321";"Zelta Bulta";82;0;51.33;51326;Bots
108;261;"Dalībnieks #261";"Zelta Bulta";81;0;52.42;52419;Bots
109;446;"Dalībnieks #446";"4. Galdiņš";80;0;11.09;11087;Bots
110;205;"Dalībnieks #205";"3. Galdiņš";79;0;41.99;41992;Bots
111;200;"Dalībnieks #200";"Ātrie Prāti";79;0;53.52;53519;Bots
112;331;"Dalībnieks #331";"Zelta Bulta";77;0;15.25;15247;Bots
113;357;"Dalībnieks #357";"5. Galdiņš";77;0;20.35;20352;Bots
114;127;"Dalībnieks #127";"5. Galdiņš";77;0;36.32;36317;Bots
115;241;"Dalībnieks #241";"Zelta Bulta";76;0;14.44;14441;Bots
116;252;"Dalībnieks #252";"Gudrinieki";75;0;24.98;24977;Bots
117;245;"Dalībnieks #245";"3. Galdiņš";74;0;27.32;27318;Bots
118;267;"Dalībnieks #267";"5. Galdiņš";74;0;29.93;29925;Bots
119;18;"Dalībnieks #18";"VIP Galdiņš";74;0;43.50;43496;Bots
120;259;"Dalībnieks #259";"Čempioni";73;0;26.24;26241;Bots
121;83;"Dalībnieks #83";"1. Galdiņš";73;0;26.71;26715;Bots
122;184;"Dalībnieks #184";"2. Galdiņš";73;0;35.16;35160;Bots
123;394;"Dalībnieks #394";"2. Galdiņš";72;0;24.98;24977;Bots
124;23;"Dalībnieks #23";"1. Galdiņš";72;0;36.51;36514;Bots
125;187;"Dalībnieks #187";"5. Galdiņš";72;0;52.54;52544;Bots
126;203;"Dalībnieks #203";"1. Galdiņš";71;0;23.22;23223;Bots
127;412;"Dalībnieks #412";"Gudrinieki";71;0;35.45;35452;Bots
128;78;"Dalībnieks #78";"VIP Galdiņš";70;0;26.95;26952;Bots
129;268;"Dalībnieks #268";"VIP Galdiņš";70;0;33.99;33988;Bots
130;498;"Dalībnieks #498";"VIP Galdiņš";70;0;47.68;47680;Bots
131;3;"Dalībnieks #3";"1. Galdiņš";69;0;27.81;27813;Bots
132;239;"Dalībnieks #239";"Čempioni";69;0;39.08;39075;Bots
133;371;"Dalībnieks #371";"Zelta Bulta";69;0;46.48;46480;Bots
134;35;"Dalībnieks #35";"3. Galdiņš";69;0;50.77;50775;Bots
135;181;"Dalībnieks #181";"Zelta Bulta";68;0;25.69;25694;Bots
136;91;"Dalībnieks #91";"Zelta Bulta";68;0;33.94;33941;Bots
137;201;"Dalībnieks #201";"Zelta Bulta";68;0;37.67;37669;Bots
138;317;"Dalībnieks #317";"5. Galdiņš";68;0;42.79;42790;Bots
139;442;"Dalībnieks #442";"Gudrinieki";67;0;40.77;40773;Bots
140;226;"Dalībnieks #226";"4. Galdiņš";67;0;47.07;47074;Bots
141;130;"Dalībnieks #130";"Ātrie Prāti";66;0;40.52;40518;Bots
142;227;"Dalībnieks #227";"5. Galdiņš";64;0;21.29;21293;Bots
143;333;"Dalībnieks #333";"1. Galdiņš";64;0;28.94;28943;Bots
144;479;"Dalībnieks #479";"Čempioni";61;0;30.00;29997;Bots
145;290;"Dalībnieks #290";"Ātrie Prāti";60;0;42.96;42962;Bots
146;456;"Dalībnieks #456";"4. Galdiņš";60;0;48.44;48438;Bots
147;114;"Dalībnieks #114";"2. Galdiņš";59;0;43.80;43796;Bots
148;455;"Dalībnieks #455";"3. Galdiņš";58;0;34.57;34570;Bots
149;119;"Dalībnieks #119";"Čempioni";58;0;39.41;39411;Bots
150;197;"Dalībnieks #197";"5. Galdiņš";56;0;36.71;36710;Bots
151;418;"Dalībnieks #418";"VIP Galdiņš";56;0;42.62;42618;Bots
152;255;"Dalībnieks #255";"3. Galdiņš";56;0;48.23;48235;Bots
153;163;"Dalībnieks #163";"1. Galdiņš";55;0;40.76;40764;Bots
154;344;"Dalībnieks #344";"2. Galdiņš";55;0;46.95;46945;Bots
155;112;"Dalībnieks #112";"Gudrinieki";55;0;54.47;54473;Bots
156;40;"Dalībnieks #40";"Ātrie Prāti";53;0;54.61;54613;Bots
157;397;"Dalībnieks #397";"5. Galdiņš";52;0;50.19;50191;Bots
158;60;"Dalībnieks #60";"Ātrie Prāti";52;0;57.95;57951;Bots
159;495;"Dalībnieks #495";"3. Galdiņš";51;0;29.56;29560;Bots
160;16;"Dalībnieks #16";"4. Galdiņš";50;0;6.29;6293;Bots
161;159;"Dalībnieks #159";"Čempioni";50;0;9.93;9933;Bots
162;356;"Dalībnieks #356";"4. Galdiņš";50;0;11.78;11776;Bots
163;164;"Dalībnieks #164";"2. Galdiņš";50;0;12.71;12711;Bots
164;219;"Dalībnieks #219";"Čempioni";50;0;12.73;12732;Bots
165;149;"Dalībnieks #149";"Čempioni";50;0;14.37;14366;Bots
166;124;"Dalībnieks #124";"2. Galdiņš";50;0;17.23;17229;Bots
167;143;"Dalībnieks #143";"1. Galdiņš";50;0;19.75;19755;Bots
168;428;"Dalībnieks #428";"VIP Galdiņš";49;0;5.32;5322;Bots
169;63;"Dalībnieks #63";"1. Galdiņš";49;0;8.14;8136;Bots
170;76;"Dalībnieks #76";"4. Galdiņš";49;0;9.41;9410;Bots
171;79;"Dalībnieks #79";"Čempioni";49;0;12.88;12883;Bots
172;330;"Dalībnieks #330";"Ātrie Prāti";49;0;12.99;12990;Bots
173;493;"Dalībnieks #493";"1. Galdiņš";49;0;15.02;15018;Bots
174;382;"Dalībnieks #382";"Gudrinieki";49;0;25.99;25992;Bots
175;386;"Dalībnieks #386";"4. Galdiņš";49;0;28.15;28149;Bots
176;169;"Dalībnieks #169";"Čempioni";49;0;28.23;28232;Bots
177;199;"Dalībnieks #199";"Čempioni";48;0;5.04;5044;Bots
178;235;"Dalībnieks #235";"3. Galdiņš";48;0;5.21;5207;Bots
179;482;"Dalībnieks #482";"Gudrinieki";48;0;10.28;10279;Bots
180;270;"Dalībnieks #270";"Ātrie Prāti";48;0;10.41;10413;Bots
181;242;"Dalībnieks #242";"Gudrinieki";48;0;14.31;14310;Bots
182;19;"Dalībnieks #19";"Čempioni";48;0;18.64;18636;Bots
183;459;"Dalībnieks #459";"Čempioni";48;0;18.82;18821;Bots
184;20;"Dalībnieks #20";"Ātrie Prāti";48;0;19.73;19725;Bots
185;390;"Dalībnieks #390";"Ātrie Prāti";48;0;25.16;25162;Bots
186;275;"Dalībnieks #275";"3. Galdiņš";48;0;38.93;38933;Bots
187;468;"Dalībnieks #468";"VIP Galdiņš";47;0;24.64;24640;Bots
188;218;"Dalībnieks #218";"VIP Galdiņš";47;0;25.52;25517;Bots
189;98;"Dalībnieks #98";"VIP Galdiņš";47;0;29.84;29835;Bots
190;48;"Dalībnieks #48";"VIP Galdiņš";47;0;31.51;31514;Bots
191;6;"Dalībnieks #6";"4. Galdiņš";46;0;11.22;11225;Bots
192;233;"Dalībnieks #233";"1. Galdiņš";46;0;15.80;15805;Bots
193;409;"Dalībnieks #409";"Čempioni";46;0;25.16;25162;Bots
194;182;"Dalībnieks #182";"Gudrinieki";46;0;28.70;28703;Bots
195;212;"Dalībnieks #212";"Gudrinieki";46;0;29.17;29171;Bots
196;191;"Dalībnieks #191";"Zelta Bulta";46;0;31.32;31316;Bots
197;465;"Dalībnieks #465";"3. Galdiņš";45;0;8.88;8878;Bots
198;28;"Dalībnieks #28";"VIP Galdiņš";45;0;11.55;11554;Bots
199;379;"Dalībnieks #379";"Čempioni";45;0;13.81;13808;Bots
200;69;"Dalībnieks #69";"Čempioni";45;0;13.93;13926;Bots
201;165;"Dalībnieks #165";"3. Galdiņš";45;0;16.59;16586;Bots
202;24;"Dalībnieks #24";"2. Galdiņš";45;0;19.93;19934;Bots
203;376;"Dalībnieks #376";"4. Galdiņš";45;0;21.90;21903;Bots
204;73;"Dalībnieks #73";"1. Galdiņš";45;0;29.82;29821;Bots
205;363;"Dalībnieks #363";"1. Galdiņš";45;0;34.48;34480;Bots
206;97;"Dalībnieks #97";"5. Galdiņš";44;0;17.35;17354;Bots
207;431;"Dalībnieks #431";"Zelta Bulta";44;0;18.82;18823;Bots
208;208;"Dalībnieks #208";"VIP Galdiņš";44;0;23.93;23934;Bots
209;294;"Dalībnieks #294";"2. Galdiņš";44;0;24.47;24473;Bots
210;496;"Dalībnieks #496";"4. Galdiņš";44;0;26.54;26538;Bots
211;84;"Dalībnieks #84";"2. Galdiņš";44;0;28.14;28145;Bots
212;232;"Dalībnieks #232";"Gudrinieki";44;0;28.37;28371;Bots
213;421;"Dalībnieks #421";"Zelta Bulta";44;0;30.42;30424;Bots
214;260;"Dalībnieks #260";"Ātrie Prāti";43;0;23.95;23954;Bots
215;464;"Dalībnieks #464";"2. Galdiņš";43;0;25.63;25631;Bots
216;151;"Dalībnieks #151";"Zelta Bulta";43;0;28.38;28383;Bots
217;243;"Dalībnieks #243";"1. Galdiņš";43;0;30.03;30028;Bots
218;466;"Dalībnieks #466";"4. Galdiņš";43;0;43.85;43854;Bots
219;136;"Dalībnieks #136";"4. Galdiņš";42;0;11.04;11035;Bots
220;70;"Dalībnieks #70";"Ātrie Prāti";42;0;12.05;12051;Bots
221;103;"Dalībnieks #103";"1. Galdiņš";42;0;12.65;12651;Bots
222;319;"Dalībnieks #319";"Čempioni";42;0;12.78;12780;Bots
223;339;"Dalībnieks #339";"Čempioni";42;0;13.72;13722;Bots
224;240;"Dalībnieks #240";"Ātrie Prāti";42;0;18.26;18256;Bots
225;304;"Dalībnieks #304";"2. Galdiņš";42;0;25.37;25372;Bots
226;490;"Dalībnieks #490";"Ātrie Prāti";42;0;31.80;31797;Bots
227;350;"Dalībnieks #350";"Ātrie Prāti";42;0;36.14;36143;Bots
228;180;"Dalībnieks #180";"Ātrie Prāti";42;0;36.85;36851;Bots
229;497;"Dalībnieks #497";"5. Galdiņš";42;0;37.23;37225;Bots
230;326;"Dalībnieks #326";"4. Galdiņš";41;0;12.24;12243;Bots
231;277;"Dalībnieks #277";"5. Galdiņš";41;0;17.62;17618;Bots
232;460;"Dalībnieks #460";"Ātrie Prāti";41;0;18.93;18928;Bots
233;220;"Dalībnieks #220";"Ātrie Prāti";41;0;21.35;21354;Bots
234;318;"Dalībnieks #318";"VIP Galdiņš";41;0;28.46;28456;Bots
235;383;"Dalībnieks #383";"1. Galdiņš";41;0;36.16;36165;Bots
236;362;"Dalībnieks #362";"Gudrinieki";41;0;36.39;36389;Bots
237;392;"Dalībnieks #392";"Gudrinieki";41;0;37.67;37671;Bots
238;405;"Dalībnieks #405";"3. Galdiņš";40;0;12.98;12981;Bots
239;196;"Dalībnieks #196";"4. Galdiņš";40;0;14.68;14679;Bots
240;135;"Dalībnieks #135";"3. Galdiņš";40;0;20.47;20470;Bots
241;108;"Dalībnieks #108";"VIP Galdiņš";40;0;27.41;27406;Bots
242;37;"Dalībnieks #37";"5. Galdiņš";40;0;37.69;37687;Bots
243;32;"Dalībnieks #32";"Gudrinieki";40;0;38.48;38475;Bots
244;491;"Dalībnieks #491";"Zelta Bulta";39;0;15.38;15382;Bots
245;122;"Dalībnieks #122";"Gudrinieki";39;0;15.95;15946;Bots
246;176;"Dalībnieks #176";"4. Galdiņš";39;0;18.61;18614;Bots
247;373;"Dalībnieks #373";"1. Galdiņš";39;0;24.35;24353;Bots
248;426;"Dalībnieks #426";"4. Galdiņš";39;0;26.63;26626;Bots
249;183;"Dalībnieks #183";"1. Galdiņš";39;0;26.99;26990;Bots
250;439;"Dalībnieks #439";"Čempioni";39;0;28.34;28343;Bots
251;99;"Dalībnieks #99";"Čempioni";39;0;40.67;40674;Bots
252;322;"Dalībnieks #322";"Gudrinieki";39;0;40.89;40893;Bots
253;404;"Dalībnieks #404";"2. Galdiņš";38;0;16.01;16008;Bots
254;436;"Dalībnieks #436";"4. Galdiņš";38;0;19.22;19222;Bots
255;222;"Dalībnieks #222";"Gudrinieki";38;0;20.23;20226;Bots
256;441;"Dalībnieks #441";"Zelta Bulta";38;0;24.33;24334;Bots
257;54;"Dalībnieks #54";"2. Galdiņš";38;0;29.34;29336;Bots
258;74;"Dalībnieks #74";"2. Galdiņš";38;0;33.85;33848;Bots
259;157;"Dalībnieks #157";"5. Galdiņš";38;0;37.07;37073;Bots
260;106;"Dalībnieks #106";"4. Galdiņš";38;0;38.53;38533;Bots
261;430;"Dalībnieks #430";"Ātrie Prāti";38;0;39.57;39567;Bots
262;292;"Dalībnieks #292";"Gudrinieki";37;0;17.34;17335;Bots
263;440;"Dalībnieks #440";"Ātrie Prāti";37;0;20.53;20527;Bots
264;283;"Dalībnieks #283";"1. Galdiņš";37;0;21.02;21017;Bots
265;454;"Dalībnieks #454";"2. Galdiņš";37;0;27.12;27122;Bots
266;420;"Dalībnieks #420";"Ātrie Prāti";37;0;31.20;31205;Bots
267;262;"Dalībnieks #262";"Gudrinieki";37;0;32.39;32394;Bots
268;336;"Dalībnieks #336";"4. Galdiņš";37;0;33.78;33783;Bots
269;349;"Dalībnieks #349";"Čempioni";37;0;38.35;38353;Bots
270;10;"Dalībnieks #10";"Ātrie Prāti";36;0;24.84;24844;Bots
271;395;"Dalībnieks #395";"3. Galdiņš";36;0;28.63;28630;Bots
272;171;"Dalībnieks #171";"Zelta Bulta";36;0;37.18;37176;Bots
273;29;"Dalībnieks #29";"Čempioni";36;0;43.95;43954;Bots
274;68;"Dalībnieks #68";"VIP Galdiņš";36;0;44.72;44716;Bots
275;89;"Dalībnieks #89";"Čempioni";36;0;48.65;48648;Bots
276;188;"Dalībnieks #188";"VIP Galdiņš";36;0;51.16;51162;Bots
277;307;"Dalībnieks #307";"5. Galdiņš";35;0;27.12;27122;Bots
278;33;"Dalībnieks #33";"1. Galdiņš";35;0;29.54;29536;Bots
279;473;"Dalībnieks #473";"1. Galdiņš";35;0;31.92;31917;Bots
280;115;"Dalībnieks #115";"3. Galdiņš";35;0;42.03;42028;Bots
281;95;"Dalībnieks #95";"3. Galdiņš";34;0;32.10;32104;Bots
282;375;"Dalībnieks #375";"3. Galdiņš";34;0;44.67;44666;Bots
283;403;"Dalībnieks #403";"1. Galdiņš";34;0;47.33;47334;Bots
284;7;"Dalībnieks #7";"5. Galdiņš";33;0;26.66;26660;Bots
285;168;"Dalībnieks #168";"VIP Galdiņš";33;0;31.25;31254;Bots
286;445;"Dalībnieks #445";"3. Galdiņš";33;0;33.33;33327;Bots
287;58;"Dalībnieks #58";"VIP Galdiņš";33;0;34.75;34751;Bots
288;140;"Dalībnieks #140";"Ātrie Prāti";33;0;40.14;40143;Bots
289;170;"Dalībnieks #170";"Ātrie Prāti";33;0;41.83;41828;Bots
290;118;"Dalībnieks #118";"VIP Galdiņš";33;0;46.12;46123;Bots
291;120;"Dalībnieks #120";"Ātrie Prāti";33;0;49.35;49349;Bots
292;116;"Dalībnieks #116";"4. Galdiņš";32;0;25.76;25763;Bots
293;429;"Dalībnieks #429";"Čempioni";32;0;40.02;40016;Bots
294;9;"Dalībnieks #9";"Čempioni";32;0;53.06;53058;Bots
295;11;"Dalībnieks #11";"Zelta Bulta";31;0;27.14;27136;Bots
296;324;"Dalībnieks #324";"2. Galdiņš";31;0;28.09;28095;Bots
297;272;"Dalībnieks #272";"Gudrinieki";31;0;29.80;29798;Bots
298;55;"Dalībnieks #55";"3. Galdiņš";31;0;30.17;30174;Bots
299;291;"Dalībnieks #291";"Zelta Bulta";31;0;35.14;35140;Bots
300;279;"Dalībnieks #279";"Čempioni";31;0;39.91;39913;Bots
301;147;"Dalībnieks #147";"5. Galdiņš";31;0;40.06;40064;Bots
302;51;"Dalībnieks #51";"Zelta Bulta";31;0;41.19;41191;Bots
303;111;"Dalībnieks #111";"Zelta Bulta";31;0;44.31;44312;Bots
304;158;"Dalībnieks #158";"VIP Galdiņš";31;0;51.52;51524;Bots
305;320;"Dalībnieks #320";"Ātrie Prāti";31;0;58.10;58105;Bots
306;47;"Dalībnieks #47";"5. Galdiņš";30;0;32.76;32759;Bots
307;80;"Dalībnieks #80";"Ātrie Prāti";30;0;38.77;38773;Bots
308;458;"Dalībnieks #458";"VIP Galdiņš";30;0;42.77;42769;Bots
309;398;"Dalībnieks #398";"VIP Galdiņš";30;0;43.31;43310;Bots
310;206;"Dalībnieks #206";"4. Galdiņš";30;0;44.81;44814;Bots
311;154;"Dalībnieks #154";"2. Galdiņš";30;0;51.20;51200;Bots
312;198;"Dalībnieks #198";"VIP Galdiņš";29;0;29.12;29118;Bots
313;289;"Dalībnieks #289";"Čempioni";29;0;32.07;32067;Bots
314;293;"Dalībnieks #293";"1. Galdiņš";29;0;34.41;34406;Bots
315;61;"Dalībnieks #61";"Zelta Bulta";29;0;41.20;41203;Bots
316;132;"Dalībnieks #132";"Gudrinieki";29;0;43.88;43875;Bots
317;230;"Dalībnieks #230";"Ātrie Prāti";29;0;46.49;46490;Bots
318;444;"Dalībnieks #444";"2. Galdiņš";29;0;46.59;46591;Bots
319;380;"Dalībnieks #380";"Ātrie Prāti";29;0;47.06;47056;Bots
320;244;"Dalībnieks #244";"2. Galdiņš";29;0;51.13;51128;Bots
321;166;"Dalībnieks #166";"4. Galdiņš";28;0;27.07;27066;Bots
322;65;"Dalībnieks #65";"3. Galdiņš";28;0;27.18;27183;Bots
323;93;"Dalībnieks #93";"1. Galdiņš";28;0;41.41;41406;Bots
324;365;"Dalībnieks #365";"3. Galdiņš";28;0;43.59;43594;Bots
325;144;"Dalībnieks #144";"2. Galdiņš";28;0;43.92;43918;Bots
326;305;"Dalībnieks #305";"3. Galdiņš";28;0;45.98;45977;Bots
327;400;"Dalībnieks #400";"Ātrie Prāti";28;0;46.58;46584;Bots
328;364;"Dalībnieks #364";"2. Galdiņš";28;0;50.50;50497;Bots
329;500;"Dalībnieks #500";"Ātrie Prāti";28;0;52.95;52953;Bots
330;102;"Dalībnieks #102";"Gudrinieki";28;0;54.02;54022;Bots
331;246;"Dalībnieks #246";"4. Galdiņš";28;0;54.75;54746;Bots
332;238;"Dalībnieks #238";"VIP Galdiņš";27;0;34.88;34875;Bots
333;343;"Dalībnieks #343";"1. Galdiņš";27;0;36.51;36507;Bots
334;447;"Dalībnieks #447";"5. Galdiņš";27;0;36.68;36676;Bots
335;36;"Dalībnieks #36";"4. Galdiņš";27;0;39.13;39131;Bots
336;377;"Dalībnieks #377";"5. Galdiņš";27;0;39.15;39147;Bots
337;85;"Dalībnieks #85";"3. Galdiņš";27;0;44.56;44564;Bots
338;27;"Dalībnieks #27";"5. Galdiņš";27;0;44.60;44602;Bots
339;229;"Dalībnieks #229";"Čempioni";27;0;47.38;47377;Bots
340;347;"Dalībnieks #347";"5. Galdiņš";27;0;47.49;47489;Bots
341;64;"Dalībnieks #64";"2. Galdiņš";27;0;49.23;49229;Bots
342;311;"Dalībnieks #311";"Zelta Bulta";26;0;45.46;45458;Bots
343;300;"Dalībnieks #300";"Ātrie Prāti";26;0;48.78;48776;Bots
344;353;"Dalībnieks #353";"1. Galdiņš";0;0;4.46;4457;Bots
345;82;"Dalībnieks #82";"Gudrinieki";0;0;5.16;5157;Bots
346;422;"Dalībnieks #422";"Gudrinieki";0;0;5.71;5711;Bots
347;249;"Dalībnieks #249";"Čempioni";0;0;8.79;8790;Bots
348;354;"Dalībnieks #354";"2. Galdiņš";0;0;8.95;8954;Bots
